Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgCWDLimit,AvgSoilMoistureMult,AvgDryDaysMult,AvgProbEst,DryDays,BeginGDD,EndGDD,AvgCWD,
20, PinuEdul, 4, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PopuTrem, 1, 2, 0.89, 1, 1, 1, 0, 0, 153, 111, 264.5, 51.88, 
20, PopuTrem, 2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PopuTrem, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PopuTrem, 4, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PseuMenz, 1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PseuMenz, 2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PseuMenz, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PseuMenz, 4, 1, 0.52, 1, 1, 1, 0, 0, 103, 157, 260, 17.99, 
20, QuerGamb, 1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, QuerGamb, 2, 1, 0.84, 1, 1, 1, 0, 0, 126, 133, 260, 53.73, 
20, QuerGamb, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, QuerGamb, 4, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, AbieConc, 1, 7, 0.63, 1, 1, 1, 0.03, 0.01, 148.14, 119.86, 271, 54.42, 
30, AbieConc, 2, 1, 0.73, 1, 1, 1, 0, 0, 157, 112, 270, 59, 
30, AbieConc, 3, 2, 0.88, 1, 1, 1, 0, 0, 145.5, 120.5, 267, 50.34, 
30, AbieConc, 4, 5, 0.84, 1, 1, 1, 0, 0, 117, 142.8, 260, 38.31, 
30, AbieLasi, 1, 15, 0.63, 1, 1, 1, 0.04, 0.01, 147.4, 117.67, 269, 53.73, 
30, AbieLasi, 2, 5, 0.77, 1, 1, 1, 0, 0, 145.2, 119.8, 267.6, 52.49, 
30, AbieLasi, 3, 2, 0.88, 1, 1, 1, 0, 0, 145.5, 120.5, 267, 55.41, 
30, AbieLasi, 4, 5, 0.81, 1, 1, 1, 0, 0, 114.2, 145.8, 260, 30.8, 
30, JuniOste, 1, 4, 0.98, 1, 1, 1, 0, 0, 150.25, 122, 273.25, 54.44, 
30, JuniOste, 2, 1, 1, 1, 1, 1, 0, 0, 142, 126, 269, 58.04, 
30, JuniOste, 3, 1, 1, 1, 1, 1, 0, 0, 146, 113, 260, 43.5, 
30, JuniOste, 4, 1, 0.69, 1, 1, 1, 0, 0, 95, 146, 240, 41.27, 
30, PiceEnge, 1, 16, 0, 1, 1, 1, 0, 0, 152.25, 116.94, 269.88, 54.71, 
30, PiceEnge, 2, 4, 0, 1, 1, 1, 0, 0, 149.5, 118.5, 269, 56.98, 
30, PiceEnge, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
